Symbol,Sector,Correlation,Cap_Category
20MICRONS,NIFTY INFRA,0.855,Small Cap
21STCENMGM,NIFTY ALPHA 50,0.7737,Micro Cap
3IINFOLTD,NIFTY LARGEMID250,0.859,Micro Cap
3MINDIA,NIFTY FMCG,0.8624,Large Cap
3PLAND,NIFTY ALPHA 50,0.8232,Unknown
5PAISA,NIFTY IT,0.8355,Small Cap
63MOONS,NIFTY INDIA MFG,0.9055,Small Cap
A2ZINFRA,NIFTY CPSE,0.765,Micro Cap
AAKASH,NIFTY IT,0.8238,Micro Cap
AAREYDRUGS,NIFTY LARGEMID250,0.7251,Micro Cap
AARTIDRUGS,NIFTY IT,0.7989,Small Cap
AARTISURF,NIFTY LARGEMID250,0.7803,Micro Cap
AARVEEDEN,NIFTY ALPHA 50,0.8944,Micro Cap
AARVI,NIFTY CPSE,0.8537,Micro Cap
AAVAS,NIFTY FIN SERVICE,0.9133,Mid Cap
ABAN,NIFTY CPSE,0.9098,Micro Cap
ABBOTINDIA,NIFTY FMCG,0.8688,Large Cap
ABFRL,NIFTY CPSE,0.844,Mid Cap
ABSLAMC,NIFTY LARGEMID250,0.8433,Large Cap
ABSLBANETF,NIFTY BANK,0.9971,Unknown
ACC,NIFTY 500,0.966,Large Cap
ACE,NIFTY 500,0.9722,Mid Cap
ADANIGREEN,NIFTY ENERGY,0.9269,Large Cap
ADANIPORTS,NIFTY INFRA,0.961,Large Cap
ADANITRANS,NIFTY CONSUMPTION,0.8957,Unknown
ADFFOODS,NIFTY 50,0.9474,Small Cap
ADSL,NIFTY ALPHA 50,0.8957,Small Cap
ADVANIHOTR,NIFTY ALPHA 50,0.8917,Small Cap
ADVENZYMES,NIFTY GS COMPSITE,0.754,Small Cap
AFFLE,NIFTY ALPHA 50,0.9424,Large Cap
AGARIND,NIFTY ALPHA 50,0.8607,Small Cap
AGI,NIFTY ALPHA 50,0.8791,Small Cap
AGRITECH,NIFTY CPSE,0.8839,Micro Cap
AGROPHOS,NIFTY INDIA MFG,0.6505,Micro Cap
AGSTRA,NIFTY IT,0.7424,Micro Cap
AHLUCONT,NIFTY COMMODITIES,0.8735,Mid Cap
AIAENG,NIFTY FMCG,0.9319,Large Cap
AIRAN,NIFTY INDIA MFG,0.7795,Micro Cap
AIROLAM,NIFTY HEALTHCARE,0.7073,Micro Cap
AJANTPHARM,NIFTY ALPHA 50,0.86,Large Cap
AJMERA,NIFTY ALPHA 50,0.8889,Small Cap
AJOONI,NIFTY IT,0.7667,Micro Cap
AJRINFRA,NIFTY ALPHA 50,0.8776,Micro Cap
AKASH,NIFTY IND DIGITAL,0.5387,Micro Cap
AKSHAR,NIFTY AUTO,0.7929,Micro Cap
AKSHARCHEM,NIFTY ALPHA 50,0.8546,Micro Cap
AKSHOPTFBR,NIFTY CPSE,0.8214,Micro Cap
AKZOINDIA,NIFTY FIN SERVICE,0.792,Mid Cap
ALANKIT,NIFTY LARGEMID250,0.7732,Micro Cap
ALBERTDAVD,NIFTY ALPHA 50,0.8137,Micro Cap
ALEMBICLTD,NIFTY IT,0.8349,Small Cap
ALICON,NIFTY 500,0.9237,Small Cap
ALKALI,NIFTY ALPHA 50,0.9081,Micro Cap
ALKEM,NIFTY IT,0.9172,Large Cap
ALKYLAMINE,NIFTY IT,0.9593,Mid Cap
ALLCARGO,NIFTY ALPHA 50,0.9014,Small Cap
